,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,
0,5,4,4,9,7,8,4,4,10,11,11,10,4,13,7,0,0.00%,20.44%,20.21%,21.39%,0.00%
1,12,6,8,5,14,3,11,9,9,7,13,8,7,12,7,1,2.25%,2.39%,4.42%,2.27%,1.61%
2,5,6,7,8,6,12,6,11,14,6,6,6,8,5,6,2,1.97%,2.11%,4.09%,2.11%,1.42%
3,6,6,6,11,8,13,13,6,14,8,12,10,6,4,13,3,2.02%,2.30%,4.31%,2.53%,1.64%
4,11,5,5,4,8,7,5,5,11,9,8,5,6,13,9,4,24.92%,20.72%,19.95%,23.65%,24.69%
5,12,4,8,14,7,6,13,8,13,13,7,8,8,10,7,5,32.67%,19.76%,19.39%,28.44%,29.87%
6,5,6,5,13,6,5,12,5,10,6,5,13,5,7,9,6,33.94%,27.03%,19.48%,27.77%,25.97%
7,4,10,14,0,9,5,13,14,0,12,6,6,14,0,7,7,33.11%,23.07%,30.78%,23.35%,33.54%
8,9,9,7,8,10,14,6,12,7,6,6,7,8,12,6,8,21.88%,24.62%,23.57%,23.19%,31.30%
9,5,14,0,10,2,5,12,12,13,11,5,11,11,14,6,9,24.74%,23.06%,28.56%,26.37%,24.97%
10,4,11,12,8,14,5,7,9,6,8,12,10,7,6,8,10,18.42%,25.11%,27.97%,23.18%,22.07%
11,13,7,13,6,13,12,11,7,13,13,13,8,9,4,5,11,20.20%,28.18%,26.96%,21.05%,22.89%
12,5,9,4,13,7,9,12,4,2,9,14,0,4,12,7,12,27.07%,28.93%,27.50%,22.82%,26.42%
13,5,9,0,10,4,5,10,0,7,6,5,6,0,6,4,13,30.78%,25.99%,23.82%,22.08%,28.21%
14,13,3,12,8,1,14,13,12,12,11,7,9,12,12,11,14,26.04%,26.29%,19.01%,29.78%,25.39%
15,13,8,10,12,11,14,11,13,6,11,13,11,0,12,11,,,,,,
16,14,6,5,6,4,9,13,5,11,6,14,4,5,4,6,,,,,,
